Iter;Beta;NormF;x_0;x_1
0;0.0000000000000000e+00;1.1180339887498949e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;6.2500000000000000e-02;1.1180335415366571e+00;9.9999999999999995e-07;9.9992356717694073e-07
2;1.9073486328125000e-06;1.0419161120243920e+00;2.9536724090576173e-06;9.5374826017465419e-01
3;1.0000000000000000e+00;3.5672564703353749e-01;5.0000100000000003e-01;1.0011209337720393e+00
4;1.0000000000000000e+00;2.2445050875691656e-02;5.0000000000000011e-01;8.7514058737912426e-01
5;1.0000000000000000e+00;1.1628147900004389e-04;4.9999999999999989e-01;8.6607287419842871e-01
6;1.0000000000000000e+00;3.1866709588102924e-09;5.0000000000000000e-01;8.6602540508539161e-01
7;1.0000000000000000e+00;1.5700924586837752e-16;5.0000000000000000e-01;8.6602540378443860e-01
