Iter;Beta;NormF;x_0;x_1
0;0.0000000000000000e+00;4.5961940777125587e+00;5.0000000000000000e-01;2.0000000000000000e+00
1;1.0000000000000000e+00;9.3360192203536352e-01;5.0000000000000000e-01;1.1875000000000000e+00
2;1.0000000000000000e+00;1.0926504489195035e-01;5.0000000000000000e-01;9.0953947368421051e-01
3;1.0000000000000000e+00;2.5511993982837715e-03;5.0000000000000000e-01;8.6706630103740367e-01
4;1.0000000000000000e+00;1.5304149642947582e-06;5.0000000000000000e-01;8.6602602857350608e-01
5;1.0000000000000000e+00;5.5204450847321533e-13;5.0000000000000000e-01;8.6602540378466397e-01
6;1.0000000000000000e+00;1.5700924586837752e-16;5.0000000000000000e-01;8.6602540378443860e-01
