Iter;Beta;NormF;x_0;x_1
0;0.0000000000000000e+00;1.1180339887498949e+00;1.0000000000000000e+00;0.0000000000000000e+00
1;3.1250000000000000e-02;1.1180344359638481e+00;1.0000009999999999e+00;9.9995934521971079e-07
2;1.9073486328125000e-06;1.0418766973910110e+00;1.0000010463237761e+00;9.5371604307479318e-01
3;1.0000000000000000e+00;3.5673611785326675e-01;5.0000099999999992e-01;1.0011246316139839e+00
4;1.0000000000000000e+00;2.2446202716084891e-02;5.0000000000000011e-01;8.7514105271803555e-01
5;1.0000000000000000e+00;1.1629329035326692e-04;5.0000000000000000e-01;8.6607287902012919e-01
6;1.0000000000000000e+00;3.1873184649402538e-09;5.0000000000000000e-01;8.6602540508565595e-01
7;1.0000000000000000e+00;1.5700924586837752e-16;5.0000000000000000e-01;8.6602540378443860e-01
