Iter;Beta;NormF;x_0;x_1
0;0.0000000000000000e+00;7.0710678118654757e-01;5.0000000000000000e-01;5.0000000000000000e-01
1;1.0000000000000000e+00;3.5355339059327379e-01;5.0000000000000000e-01;1.0000000000000000e+00
2;1.0000000000000000e+00;2.2097086912079612e-02;5.0000000000000000e-01;8.7500000000000000e-01
3;1.0000000000000000e+00;1.1274023934731932e-04;5.0000000000000000e-01;8.6607142857142860e-01
4;1.0000000000000000e+00;2.9955426617592411e-09;5.0000000000000000e-01;8.6602540500736380e-01
5;1.0000000000000000e+00;1.5700924586837752e-16;5.0000000000000000e-01;8.6602540378443860e-01
