Iter;Beta;NormF;x_0;x_1
0;0.0000000000000000e+00;3.1819805153394638e+00;1.5000000000000000e+00;1.0000000000000000e+00
1;1.0000000000000000e+00;1.7898640444882610e+00;1.5000000000000002e+00;-1.2500001303851649e-01
2;3.1250000000000000e-02;1.7693260465489309e+00;1.5000000000000002e+00;3.3203096914804858e-02
3;1.9531250000000000e-03;1.7677852207901124e+00;1.5000000000000002e+00;-3.5940648361225611e-03
4;3.0517578125000000e-05;1.7677711025018490e+00;1.5000000000000002e+00;1.7129403598490850e-03
5;7.6293945312500000e-06;1.7677685744796214e+00;1.5000000000000002e+00;-1.0707861675895922e-03
6;1.9073486328125000e-06;1.7677669555232931e+00;1.5000000000000002e+00;4.2520794963396211e-05
7;3.7252902984619141e-09;1.7677669531778712e+00;1.5000000000000002e+00;-1.2229255527277717e-05
8;4.6566128730773926e-10;1.7677669531563258e+00;1.5000000000000002e+00;1.1589633320256617e-05
9;2.3283064365386963e-10;1.7677669529676798e+00;1.5000000000000002e+00;-9.6272938034104042e-07
10;1.8189894035458565e-12;1.7677669529664433e+00;1.5000000000000002e+00;2.2936466283048384e-07
11;1.1368683772161603e-13;1.7677669529663762e+00;1.5000000000000002e+00;-6.8658629402479812e-08
12;7.1054273576010019e-15;1.7677669529663691e+00;1.5000000000000002e+00;5.8471816822251983e-09
13;0.0000000000000000e+00;1.7677669529663691e+00;1.5000000000000002e+00;5.8471816822251983e-09
