Iter;Beta;NormF;x_0;x_1
0;0.0000000000000000e+00;3.1819805153394638e+00;1.5000000000000000e+00;1.0000000000000000e+00
1;1.0000000000000000e+00;1.7898640398784484e+00;1.5000000000000000e+00;-1.2500000000000000e-01
2;3.1250000000000000e-02;1.7693260491864837e+00;1.5000000000000000e+00;3.3203125000000000e-02
3;1.9531250000000000e-03;1.7677852201900746e+00;1.5000000000000000e+00;-3.5940058091107549e-03
4;3.0517578125000000e-05;1.7677711031598129e+00;1.5000000000000000e+00;1.7130761593397411e-03
5;7.6293945312500000e-06;1.7677685734448148e+00;1.5000000000000000e+00;-1.0704444394139387e-03
6;1.9073486328125000e-06;1.7677669556055724e+00;1.5000000000000000e+00;4.3199524143319300e-05
7;3.7252902984619141e-09;1.7677669531281932e+00;1.5000000000000000e+00;-1.0697051946045545e-05
8;2.3283064365386963e-10;1.7677669529783167e+00;1.5000000000000000e+00;2.9066168994427389e-06
9;1.4551915228366852e-11;1.7677669529664386e+00;1.5000000000000000e+00;-2.2243220900166953e-07
10;1.1368683772161603e-13;1.7677669529663820e+00;1.5000000000000000e+00;9.7010168048497262e-08
11;2.8421709430404007e-14;1.7677669529663795e+00;1.5000000000000000e+00;-8.6100208434123467e-08
12;1.4210854715202004e-14;1.7677669529663695e+00;1.5000000000000000e+00;1.7056152723781156e-08
13;0.0000000000000000e+00;1.7677669529663695e+00;1.5000000000000000e+00;1.7056152723781156e-08
